DayCode1,Occupation1,Power1
1,3,3.264
1,3,3.238
0.25,3,3.228
0.25,3,3.222
0.25,3,3.226
0.25,3,3.206
0.25,3,3.188
0.25,3,3.196
0.25,3,3.204
0.25,3,3.232
0.25,3,3.254
0.25,3,3.376
0.25,3,3.372
0.25,3,3.366
0.25,3,3.386
0.25,3,3.496
0.25,3,3.426
0.25,3,3.44
0.25,3,3.44
0.25,3,3.454
0.25,3,3.45
0.25,3,3.48
0.25,3,3.474
0.25,3,3.456
0.25,3,1.832
0.25,3,2.044
0.25,3,3.354
0.25,3,3.282
0.25,3,3.308
0.25,3,3.314
0.25,3,3.306
0.25,3,1.692
0.25,3,3.342
0.25,3,3.354
0.25,3,3.334
0.25,3,3.33
0.25,3,2.74
0.25,3,2.188
0.25,3,3.33
0.25,3,3.34
0.25,3,3.306
0.25,3,3.044
0.25,3,1.766
0.25,3,3.376
0.25,3,3.414
0.25,3,3.426
0.25,3,3.42
0.25,3,1.876
0.25,3,3.442
0.25,3,3.414
0.25,3,3.412
0.25,3,2.542
0.25,3,2.82
0.25,3,3.41
0.25,3,3.392
0.25,3,2.878
0.25,3,1.848
0.25,3,3.494
0.25,3,3.42
0.25,3,3.226
0.25,3,1.948
0.25,3,3.392
0.25,3,3.368
0.25,3,3.378
0.25,3,1.872
0.25,3,3.212
0.25,3,3.346
0.25,3,3.308
0.25,3,3.302
0.25,3,2.36
0.25,3,2.652
0.25,3,3.392
0.25,3,3.398
0.25,3,3.424
0.25,3,1.86
0.25,3,3.25
0.25,3,3.502
0.25,3,3.484
0.25,3,3.478
0.25,3,1.696
0.25,3,3.494
0.25,3,3.482
0.25,3,3.48
0.25,3,3.474
0.25,3,2.308
0.25,3,2.926
0.25,3,3.472
0.25,3,3.48
0.25,3,3.454
0.25,3,3.464
0.25,3,1.786
0.25,3,3.182
0.25,3,3.378
0.25,3,3.372
0.25,3,3.362
0.25,3,3.112
0.25,3,1.614
0.25,3,3.358
0.3,3,3.388
0.3,3,3.392
0.3,3,2.81
0.3,3,2.18
0.3,3,3.37
0.3,3,3.326
0.3,3,2.778
0.3,3,2.358
0.3,3,0.96
0.3,3,1.606
0.3,3,2.35
0.3,3,2.428
0.3,3,2.078
0.3,3,0.78
0.3,3,2.426
0.3,3,2.412
0.3,3,2.428
0.3,3,1.53
0.3,3,1.388
0.3,3,2.424
0.3,3,2.428
0.3,3,2.388
0.3,3,0.376
0.3,3,2.202
0.3,3,2.43
0.3,3,2.346
0.3,3,1.916
0.3,3,0.384
0.3,3,2.334
0.3,3,2.32
0.3,3,2.306
0.3,3,2.306
0.3,3,0.436
0.3,3,1.584
0.3,3,2.328
0.3,3,2.326
0.3,3,2.334
0.3,3,1.846
0.3,3,0.284
0.3,3,2.342
0.3,3,2.392
0.3,3,2.414
0.3,3,2.414
0.3,3,0.754
0.3,3,1.42
0.3,3,2.468
0.3,3,2.474
0.3,3,2.488
0.3,3,1.81
0.3,3,0.674
0.3,3,2.444
0.3,3,2.41
0.3,3,2.412
0.3,3,2.206
0.3,3,0.37
0.3,3,2.104
0.3,3,2.404
0.3,3,2.418
