DayCode1,Occupation1,Power1
0.3,6,0.65660567
0.3,6,1.2108572
0.3,6,0.76734428
0.3,6,1.219198
0.3,6,1.1222928
0.3,6,0.73747842
0.3,6,0.59605583
0.3,6,0.8401465
0.3,6,1.359671
0.3,6,1.3462051
0.3,6,1.1821984
0.3,6,1.7549118
0.3,6,1.1995486
0.3,6,1.1517665
0.3,6,1.0132251
0.3,6,1.5551654
0.3,6,2.0130583
0.3,6,2.0077435
0.3,6,2.7193412
0.3,6,3.0852778
0.3,6,2.4447097
0.3,6,2.045476
0.3,6,2.0941887
0.3,6,2.1537641
0.3,6,1.668016
0.3,6,1.8968696
0.3,6,2.1436983
0.3,6,2.6541286
0.3,6,1.5924922
0.3,6,1.944048
0.35,6,0.39592625
0.35,6,0.97033496
0.35,6,0.85263156
0.35,6,0.74120968
0.35,6,0.45784611
0.35,6,0.37781556
0.35,6,1.2053101
0.35,6,1.0784387
0.35,6,1.2175743
0.35,6,1.0696367
0.35,6,0.84625789
0.35,6,1.4685306
0.35,6,0.88614522
0.35,6,1.2222004
0.35,6,1.3422816
0.35,6,0.89849199
0.35,6,1.5877362
0.35,6,0.92716889
0.35,6,0.98266156
0.35,6,1.318925
0.35,6,1.0916395
0.35,6,1.5738602
0.35,6,0.83968089
0.35,6,0.86944478
0.35,6,1.1593095
0.35,6,1.2282976
0.35,6,0.96447644
0.35,6,1.4873096
0.35,6,1.5418459
0.35,6,1.2351318
0.35,6,1.650062
0.35,6,1.6234729
0.35,6,1.6558781
0.35,6,1.3276478
0.35,6,1.1621248
0.35,6,1.6829136
0.35,6,2.0483583
0.35,6,2.7740101
0.35,6,2.461742
0.35,6,2.1194279
0.35,6,2.4906127
0.35,6,2.668173
0.35,6,2.5147745
0.35,6,2.1637688
0.35,6,2.0199113
0.35,6,2.3829809
0.35,6,2.7490828
0.35,6,1.1588412
0.35,6,1.8256666
0.35,6,0.94694539
0.35,6,1.7503959
0.35,6,0.980347
0.35,6,1.2340639
0.35,6,0.70707164
0.35,6,0.74016811
0.35,6,0.78198269
0.35,6,1.1832139
0.35,6,1.2960933
0.35,6,0.39180111
0.35,6,0.98522531
0.35,6,1.7578854
0.35,6,0.87206038
0.35,6,0.85709078
0.35,6,1.3086131
0.35,6,0.89808133
0.35,6,0.77310855
0.35,6,1.0026924
0.35,6,0.577818
0.35,6,0.61754883
0.35,6,1.324521
0.35,6,1.3977183
0.35,6,1.1369642
0.35,6,2.2645709
0.35,6,3.2783391
0.35,6,3.529064
0.35,6,3.0663785
0.35,6,2.3806947
0.35,6,2.9237202
0.35,6,1.5181694
0.35,6,1.4087477
0.35,6,2.7143677
0.35,6,1.536496
0.35,6,2.6224786
0.35,6,1.8516891
0.35,6,1.6808552
0.35,6,1.5425115
0.35,6,1.2554062
0.35,6,1.4902628
0.35,6,2.1076415
0.35,6,2.7227908
0.35,6,1.7977771
0.35,6,1.6585819
0.35,6,1.3691028
0.35,6,2.0963616
0.35,6,1.9334244
0.35,6,1.4362429
0.05,4,0.53490511
0.05,4,0.84397386
0.05,4,1.8166549
0.05,4,1.4121559
0.05,4,1.0275283
0.05,4,0.85914018
0.05,4,1.1928437
0.05,4,2.6457502
0.05,4,2.126041
0.05,4,1.4126742
0.05,4,1.2151358
0.05,4,1.1897
0.05,4,2.1423357
0.05,4,1.3613573
0.05,4,1.2756377
0.05,4,1.6470578
0.05,4,1.7418055
0.05,4,2.0579634
0.05,4,1.1979186
0.05,4,1.2508902
0.05,4,1.4915509
0.05,4,1.7392612
0.05,4,2.0571651
0.05,4,1.2793636
0.05,4,1.2988107
0.05,4,1.5408679
0.05,4,1.7216487
0.05,4,2.0996164
0.05,4,1.7825308
0.05,4,1.0933488
0.05,4,1.0400304
0.05,4,0.85222033
0.05,4,0.92348198
0.05,4,1.1002838
0.05,4,0.42929
0.05,4,0.67450256
0.05,4,1.0624939
0.05,4,0.91910055
0.05,4,0.67622478
0.05,4,1.6267989
0.05,4,2.4950116
0.05,4,1.9450926
0.05,4,1.7266099
0.05,4,0.71746078
0.05,4,1.2436432
0.05,4,0.6571
0.05,4,1.3922891
0.05,4,1.4601383
0.05,4,0.51911344
0.05,4,1.1240191
0.05,4,0.44595938
0.05,4,3.8505338
0.05,4,4.3784499
0.05,4,5.1172408
0.05,4,2.9798266
0.05,4,0.83391989
0.05,4,1.8124862
0.05,4,1.2885892
0.05,4,1.957448
0.05,4,0.84123003
0.05,4,1.2644558
0.05,4,0.89731654
0.05,4,0.82012389
0.05,4,1.4194114
0.05,4,0.52082133
0.05,4,1.1598089
0.05,4,0.76610766
0.05,4,0.77093778
0.05,4,1.4093927
0.05,4,0.34341891
0.05,4,0.33512042
0.05,4,0.94510501
0.05,4,0.79569533
0.05,4,0.85643774
0.05,4,0.76751969
0.05,4,0.61717856
0.05,4,0.27077544
0.05,4,0.81817847
0.05,4,0.93813326
0.05,4,0.36013196
0.05,4,0.80992622
0.05,4,1.0369729
0.05,4,1.5244451
0.05,4,1.0748981
0.05,4,1.171813
0.05,4,2.2237646
0.05,4,1.7936624
0.05,4,1.4296428
0.05,4,1.1983733
0.05,4,1.7506499
0.05,4,1.4711991
0.05,4,1.6322471
0.05,4,1.4267402
0.05,4,1.7608867
0.05,4,1.0086144
0.05,4,1.3637892
0.8,3,0.75265938
0.8,3,0.94127411
0.8,3,0.72245111
0.8,3,0.33567978
0.8,3,0.31304739
0.8,3,0.83150788
0.8,3,1.8850721
0.8,3,1.3625843
0.8,3,1.1597059
0.8,3,1.2114814
0.8,3,1.6436663
0.8,3,2.2425531
0.8,3,1.3416194
0.8,3,1.2645183
0.8,3,1.4090506
0.8,3,4.0450013
0.8,3,2.6957006
0.8,3,1.6713307
0.8,3,3.02922
0.8,3,2.9751443
0.8,3,1.6488587
0.8,3,1.7028341
0.8,3,1.436343
0.8,3,1.1980587
0.8,3,1.8328351
0.8,3,1.5545801
0.8,3,1.51047
0.8,3,1.136885
0.8,3,2.2589394
0.8,3,1.9761571
0.8,3,1.6194384
0.8,3,1.1742101
0.8,3,1.1934623
0.8,3,1.8619171
0.8,3,1.7783978
0.8,3,1.7031027
0.8,3,1.191444
0.8,3,1.5080411
0.8,3,1.1322121
0.8,3,1.0636318
0.8,3,0.418757
0.8,3,0.63263156
0.8,3,1.1311881
0.8,3,1.2889473
0.8,3,0.72680845
0.8,3,0.92965589
0.8,3,0.96869245
0.8,3,1.9928667
0.8,3,3.0885396
0.8,3,0.56349567
0.8,3,2.3235062
0.8,3,0.43058511
0.8,3,1.9984976
0.8,3,2.3062843
0.8,3,2.0960917
0.8,3,2.0497474
0.8,3,1.9594763
0.8,3,0.71081867
0.8,3,1.2337647
0.8,3,0.45359611
0.8,3,1.2228692
0.8,3,0.48896722
0.8,3,1.677591
0.8,3,1.1278181
0.8,3,1.0956732
0.8,3,0.57642333
0.8,3,0.42306956
0.8,3,1.2145746
0.8,3,0.38980433
0.8,3,0.46538944
0.8,3,0.76132867
0.8,3,0.29414438
0.8,3,1.0318814
0.8,3,0.54779922
0.8,3,2.056869
0.8,3,2.4330699
0.8,3,1.1594622
0.8,3,2.4510548
0.8,3,1.6825741
0.8,3,1.6191427
0.8,3,1.9397609
0.8,3,2.5466244
0.8,3,3.8696461
0.8,3,4.1609506
0.8,3,3.2594769
0.8,3,1.5014681
0.8,3,1.3798567
0.8,3,1.7218057
0.8,3,1.8729611
0.8,3,2.2999062
0.8,3,1.5050733
0.8,3,0.89950322
0.8,3,1.4231349
0.8,3,1.994412
0.8,3,1.807102
0.8,3,2.0009053
0.15,3,1.5805411
0.15,3,2.3776652
0.15,3,1.7360033
0.15,3,3.4424257
0.15,3,1.3185851
0.15,3,1.395194
0.15,3,3.3473837
0.15,3,2.0658766
0.15,3,2.1447422
0.15,3,1.8951052
0.15,3,1.1942671
0.15,3,1.7338443
0.15,3,1.7654413
0.15,3,2.394144
0.15,3,1.5056243
0.15,3,1.6175418
