DayCode,Occupation,Power
0.3,3,2.9083872
0.3,3,2.9947242
0.3,3,1.4282462
0.3,3,0.96111913
0.3,3,2.0244318
0.3,3,2.0658008
0.3,3,1.9556423
0.3,3,1.8336356
0.3,3,1.895557
0.3,3,1.7938738
0.3,3,2.1350732
0.3,3,2.0962785
0.3,3,1.2387736
0.3,3,2.1506305
0.3,3,1.2685947
0.3,3,1.9042268
0.3,3,1.3810927
0.3,3,1.9040766
0.3,3,2.1841332
0.3,3,3.0980787
0.3,3,1.4729329
0.3,3,1.3405485
0.3,3,1.7775252
0.3,3,1.582158
0.3,3,1.390731
0.3,3,1.8744337
0.3,3,1.3439638
0.3,3,1.1843039
0.3,3,1.8768689
0.3,3,1.197142
0.3,3,1.1690815
0.3,3,2.7952509
0.3,3,2.078658
0.3,3,1.1845258
0.3,3,0.98261211
0.3,3,1.5543956
0.3,3,1.0264196
0.3,3,0.96944911
0.3,3,1.6334266
0.3,3,1.0998861
0.3,3,1.1183001
0.3,3,1.2355303
0.3,3,3.1306357
0.3,3,3.3553096
0.3,3,2.8117534
0.3,3,2.65829
0.3,3,3.2590146
0.3,3,2.2717686
0.3,3,2.1888163
0.3,3,2.1531122
0.3,3,1.9210829
0.3,3,2.0584872
0.3,3,1.4995112
0.3,3,1.4397789
0.3,3,1.3347248
0.3,3,1.5730127
0.3,3,0.97735938
0.3,3,0.90919166
0.3,3,3.0061631
0.35,3,0.91994856
0.35,3,1.4987541
0.35,3,2.2505759
0.35,3,0.74072291
0.35,3,0.37108111
0.35,3,0.94862253
0.35,3,0.29915056
0.35,3,0.35609333
0.35,3,0.27327844
0.35,3,0.35931624
0.35,3,0.96348267
0.35,3,0.37176533
0.35,3,0.45074811
0.35,3,0.36079423
0.35,3,0.496936
0.35,3,0.76958233
0.35,3,0.29370578
0.35,3,0.39581789
0.35,3,0.30163726
0.35,3,0.36096933
0.35,3,1.9696119
0.35,3,1.4594888
0.35,3,1.2858722
0.35,3,0.92262841
0.35,3,0.94940623
0.35,3,1.5207883
0.35,3,0.77807503
0.35,3,0.96781268
0.35,3,1.9169149
0.35,3,1.8093958
0.35,3,2.3595488
0.35,3,1.9835777
0.35,3,2.34164
0.35,3,3.6630681
0.35,3,3.4002831
0.35,3,2.8486548
0.35,3,2.6634079
0.35,3,2.7499866
0.35,3,0.589705
0.35,3,0.9272263
0.35,3,0.50326174
0.35,3,0.44971733
0.35,3,0.86832542
0.35,3,0.33084149
0.35,3,0.92511011
0.35,3,0.48568757
0.35,3,0.406589
0.35,3,1.2071136
0.35,3,0.896006
0.35,3,0.91254867
0.35,3,1.6002501
0.35,3,1.2920039
0.35,3,1.1945114
0.35,3,1.7147993
0.35,3,0.99550578
0.35,3,1.6057058
0.35,3,1.722897
0.35,3,1.7081104
0.35,3,2.0341798
0.35,3,1.6909677
0.35,3,1.0987261
0.35,3,1.1766817
0.35,3,1.770948
0.35,3,1.0985643
0.35,3,1.1003335
0.35,3,1.6352631
0.35,3,1.1155796
0.35,3,1.1548497
0.35,3,2.0341148
0.35,3,2.6818116
0.35,3,1.1818865
0.35,3,0.96036719
0.35,3,0.89193463
0.35,3,1.4357922
0.35,3,0.97146693
0.35,3,1.032388
0.35,3,1.1450815
0.35,3,1.7735305
0.35,3,2.8202867
0.35,3,2.4835578
0.35,3,3.3150825
0.35,3,3.8636362
0.35,3,3.0432748
0.35,3,3.2567207
0.35,3,2.2822037
0.35,3,2.5971091
0.35,3,2.3082481
0.35,3,2.1302608
0.35,3,2.0162144
0.35,3,2.1721931
0.35,3,2.8423623
0.35,3,2.0677621
0.35,3,1.8211549
0.35,3,1.8955573
0.35,3,1.5952479
0.35,3,2.1819587
0.7,3,0.724997
0.7,3,0.73691413
0.7,3,0.61218879
0.7,3,0.68432102
0.7,3,0.95006722
0.7,3,0.31520155
0.7,3,0.4406327
0.7,3,0.42317913
0.7,3,0.44948167
0.7,3,1.0494177
0.7,3,0.28587078
0.7,3,0.34814167
0.7,3,0.32673315
0.7,3,0.36086111
0.7,3,0.36615971
0.7,3,0.94753882
0.7,3,0.39978167
0.7,3,0.323226
0.7,3,0.364239
0.7,3,0.45050156
0.7,3,1.6162408
0.7,3,2.3649717
0.7,3,1.3698545
0.7,3,1.0487753
0.7,3,1.1194727
0.7,3,1.0527373
0.7,3,1.6913455
0.7,3,1.1743881
0.7,3,2.1364832
0.7,3,2.1665969
0.7,3,2.0435026
0.7,3,2.453806
0.7,3,2.8381957
0.7,3,3.1186478
0.7,3,3.6249303
0.7,3,4.2038095
0.7,3,3.4907444
0.7,3,2.9155217
0.7,3,1.9537335
0.7,3,2.0668212
0.7,3,1.9903614
0.7,3,2.068779
0.7,3,2.1071327
0.7,3,2.0022403
0.7,3,0.64843907
0.7,3,1.2476737
0.7,3,0.46579667
0.7,3,1.395217
0.7,3,0.92538476
0.7,3,1.801591
0.7,3,1.2332561
0.7,3,1.1753104
0.7,3,1.7470558
0.7,3,1.1371792
0.7,3,1.4233565
0.7,3,1.3951645
0.7,3,1.2100314
0.7,3,1.6237687
0.7,3,1.3648949
0.7,3,1.2677277
0.7,3,1.4724057
0.7,3,1.7950791
0.7,3,1.2396213
0.7,3,1.112135
0.7,3,1.6308709
0.7,3,1.1577951
0.7,3,1.0795091
0.7,3,1.2709436
0.7,3,2.5492388
0.7,3,1.9767842
0.7,3,1.385515
0.7,3,1.7190859
0.7,3,1.2184667
0.7,3,1.4799988
0.7,3,1.4186192
0.7,3,1.8319495
0.7,3,1.1469505
0.7,3,1.1783894
0.7,3,1.2047281
0.7,3,1.7060556
0.7,3,1.2684652
0.7,3,1.4679326
0.7,3,2.2433776
0.7,3,2.7721288
0.7,3,2.0729261
0.7,3,2.3712138
0.7,3,2.8167906
0.7,3,3.6038427
0.7,3,2.6707786
0.7,3,2.137768
0.7,3,2.3651701
0.7,3,2.2966802
0.7,3,2.7285541
0.7,3,1.6650987
0.7,3,1.5828379
0.7,3,1.6845566
0.8,3,1.3879829
0.8,3,0.81769533
0.8,3,0.6899222
0.8,3,0.29025762
0.8,3,0.34568189
0.8,3,0.8419475
0.8,3,0.38158432
0.8,3,0.31855044
0.8,3,0.31565989
0.8,3,0.35358422
0.8,3,0.67430756
0.8,3,0.6247859
0.8,3,0.33411611
0.8,3,0.39302536
0.8,3,0.37703356
0.8,3,0.44134761
0.8,3,0.83175139
0.8,3,0.2492485
0.8,3,0.33390723
0.8,3,0.28462542
0.8,3,1.6053321
0.8,3,2.6503797
0.8,3,1.5408181
0.8,3,1.4880356
0.8,3,1.349486
0.8,3,1.3454531
0.8,3,1.8924619
0.8,3,2.0053232
0.8,3,2.4180281
0.8,3,2.3478811
0.8,3,2.6234844
0.8,3,3.3686352
0.8,3,4.237485
0.8,3,4.1033927
0.8,3,3.5849377
0.8,3,3.7753998
0.8,3,1.6175912
0.8,3,0.59199267
0.8,3,1.924914
0.8,3,1.913842
0.8,3,2.0452957
0.8,3,1.9286936
0.8,3,1.2282379
0.8,3,0.42577853
0.8,3,1.0181096
0.8,3,0.33540922
0.8,3,1.0176843
0.8,3,0.72154978
0.8,3,2.4822578
0.8,3,3.6237346
0.8,3,2.2162978
0.8,3,2.2130558
0.8,3,1.5101539
0.8,3,2.5391163
0.8,3,2.295998
0.8,3,1.7898736
0.8,3,1.0702073
0.8,3,1.1211797
0.8,3,2.3655087
0.8,3,0.96688142
0.8,3,1.7163243
0.8,3,2.3515321
0.8,3,1.2388406
0.8,3,1.0907777
0.8,3,0.32214567
0.8,3,0.42317944
0.8,3,0.84750455
0.8,3,0.42662189
0.8,3,1.5029889
0.8,3,1.785991
0.8,3,2.0579206
0.8,3,1.2757679
0.8,3,1.2485319
0.8,3,1.584133
0.8,3,2.1555914
0.8,3,1.5946424
0.8,3,1.7183922
0.8,3,1.685437
0.8,3,1.9479656
0.8,3,1.5458699
0.8,3,1.4971979
0.8,3,1.7780743
0.8,3,3.0075407
0.8,3,2.5678609
0.8,3,2.4019308
0.8,3,2.2851307
0.8,3,2.872663
0.8,3,2.2491895
0.8,3,2.608216
0.8,3,2.4440992
0.8,3,2.894588
0.8,3,2.3729584
0.8,3,2.0016119
0.8,3,1.6425241
0.8,3,1.5375829
0.8,3,2.0768368
0.5,3,0.74152647
0.5,3,0.74566867
0.5,3,0.7499101
0.5,3,0.60780078
0.5,3,0.65517442
0.5,3,0.36129656
0.5,3,0.29949244
0.5,3,0.43487603
0.5,3,0.45147
0.5,3,0.81145195
0.5,3,0.39280622
0.5,3,0.36678069
0.5,3,0.44102258
0.5,3,0.71236567
0.5,3,0.64053711
0.5,3,0.34093244
0.5,3,0.28373711
0.5,3,0.35827289
0.5,3,0.28913122
0.5,3,0.97766978
0.5,3,1.5081972
0.5,3,1.8024756
0.5,3,1.5153531
0.5,3,1.3318668
0.5,3,1.8768853
0.5,3,1.2546769
0.5,3,1.2767499
0.5,3,1.3360136
0.5,3,2.0690013
0.5,3,3.1111844
0.5,3,2.1916072
0.5,3,3.6848932
0.5,3,2.6805608
0.5,3,3.1028823
0.5,3,4.2529097
0.5,3,4.1179464
0.5,3,3.3739978
0.5,3,2.9852071
0.5,3,1.7647422
0.5,3,1.8889617
0.5,3,1.9621719
0.5,3,2.0718778
0.5,3,2.5523226
0.5,3,2.2645703
0.5,3,1.5930594
0.5,3,1.835173
0.5,3,1.4433468
0.5,3,1.8712967
0.5,3,1.1948583
0.5,3,1.8341404
0.5,3,1.5207917
0.5,3,2.5885809
0.5,3,2.7701618
0.5,3,1.444894
0.5,3,1.9296257
0.5,3,1.2252533
0.5,3,0.92554516
0.5,3,1.0575487
0.5,3,0.35430979
0.5,3,0.38927392
0.5,3,0.91808498
0.5,3,0.278205
0.5,3,0.357026
0.5,3,2.564534
0.5,3,2.6393937
0.5,3,2.2246073
0.5,3,1.7777966
0.5,3,2.1285598
0.5,3,2.5383298
0.5,3,3.1242418
0.5,3,3.0122441
0.5,3,1.4910198
0.5,3,1.4980701
0.5,3,1.3093078
0.5,3,2.2566872
0.5,3,1.5482566
0.5,3,1.2223623
0.5,3,1.2953362
0.5,3,1.7421994
0.5,3,1.464749
0.5,3,1.6315926
0.5,3,4.5583423
0.5,3,4.2261364
0.5,3,3.1589326
0.5,3,2.4833586
0.5,3,2.3818234
0.5,3,2.2013877
0.5,3,2.2404683
0.5,3,1.3661073
0.5,3,1.4324198
0.5,3,1.4664826
0.5,3,2.061869
0.5,3,1.3494394
0.5,3,0.84302689
0.5,3,0.86053582
0.5,3,0.93310766
1,3,1.2762247
1,3,1.1375493
1,3,0.4849879
1,3,1.1157735
1,3,1.8142784
1,3,0.74587333
1,3,1.6912316
1,3,1.9349251
1,3,0.29033208
1,3,0.32307878
1,3,0.88699978
1,3,0.32318
1,3,0.408673
1,3,0.361303
1,3,0.39651524
1,3,0.88132708
1,3,0.31830156
1,3,0.34500356
1,3,0.29159122
1,3,0.3538525
1,3,2.0239359
1,3,1.7304541
1,3,1.2862881
1,3,0.97559499
1,3,0.93336133
1,3,1.240342
1,3,1.5237189
1,3,1.1836361
1,3,1.8202906
1,3,2.8470566
1,3,2.0933876
1,3,2.9823899
1,3,3.0755721
1,3,2.9819107
1,3,2.5739092
1,3,3.6111173
1,3,3.176069
1,3,2.7558952
1,3,0.35227533
1,3,1.205246
1,3,0.29903729
1,3,0.91662647
1,3,0.32869344
1,3,0.82400856
1,3,0.42906778
1,3,0.32688667
1,3,0.85986016
1,3,0.52765684
1,3,0.87402711
1,3,1.3258112
1,3,1.9321619
1,3,1.6853654
1,3,1.5348679
1,3,0.979637
1,3,0.83811457
1,3,1.4415733
1,3,0.93063103
1,3,0.960448
1,3,1.3905833
1,3,1.4193311
1,3,1.1510747
1,3,0.61850978
1,3,0.98626467
1,3,0.63614422
1,3,0.52305756
1,3,0.89165644
1,3,0.79346038
1,3,0.53380634
1,3,1.6079403
1,3,2.2989269
1,3,1.281306
1,3,1.1978509
1,3,1.0653347
1,3,1.7021085
1,3,1.1130437
1,3,1.1255197
1,3,1.3419739
1,3,1.7252286
1,3,1.2641097
1,3,1.4096976
1,3,1.3426876
1,3,1.7589651
1,3,3.2176562
1,3,2.543711
1,3,2.3115357
1,3,2.5640424
1,3,2.9059695
1,3,2.305647
1,3,2.1311149
1,3,2.0885067
1,3,2.3172609
1,3,2.4759584
1,3,2.103253
1,3,1.6617061
1,3,1.7189688
1,3,2.3066101
0.25,3,0.89120145
0.25,3,1.1459933
0.25,3,0.50728124
0.25,3,0.38031457
0.25,3,1.0072253
0.25,3,0.30555222
0.25,3,0.36402198
0.25,3,0.37720733
0.25,3,0.30914033
0.25,3,0.95173871
0.25,3,0.31092608
0.25,3,0.32380089
0.25,3,0.49289111
0.25,3,0.43415467
0.25,3,1.0535277
0.25,3,0.42126437
0.25,3,0.33961502
0.25,3,0.39719101
0.25,3,0.29551222
0.25,3,0.74512759
0.25,3,1.6123124
0.25,3,1.4636479
0.25,3,1.0705466
0.25,3,0.84969656
0.25,3,1.0262812
0.25,3,1.3280633
0.25,3,0.84375716
0.25,3,1.0281653
0.25,3,1.9628487
0.25,3,1.8895387
0.25,3,2.5824639
0.25,3,1.7809708
0.25,3,1.9263084
0.25,3,1.8641336
0.25,3,2.0641479
0.25,3,4.2140324
0.25,3,3.3863357
0.25,3,3.1552662
0.25,3,0.765056
0.25,3,1.2628315
0.25,3,0.86564216
0.25,3,2.0120406
0.25,3,1.9450933
0.25,3,1.9562861
0.25,3,1.8746431
0.25,3,1.8763158
0.25,3,1.9156266
0.25,3,0.92894033
0.25,3,0.92846274
0.25,3,0.55735311
0.25,3,1.0871332
0.25,3,1.5265291
0.25,3,3.0955331
0.25,3,1.9527961
0.25,3,1.9326341
0.25,3,3.5000736
0.25,3,1.369888
0.25,3,1.0912439
0.25,3,1.7138173
0.25,3,1.1402211
0.25,3,1.0988542
0.25,3,1.8550535
0.25,3,1.3001659
0.25,3,1.1751826
0.25,3,1.7613303
0.25,3,1.056917
0.25,3,1.1413683
0.25,3,1.4193392
0.25,3,2.3390402
0.25,3,1.9678989
0.25,3,0.97984939
0.25,3,1.4372589
0.25,3,0.82529611
0.25,3,1.0783205
0.25,3,1.0779774
0.25,3,1.4556892
0.25,3,1.5323482
0.25,3,1.7862734
0.25,3,1.9716108
0.25,3,2.710844
0.25,3,3.9099448
0.25,3,3.1473061
0.25,3,2.2515123
